"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y"
63;-0,0684036238126501;0,788058520364176;0,9;1,02539465233822;1,02080512826495;-0,0815113321497849;-0,00224133143322127;0,066232790659398;-0,0221072567879445;-0,0657192589913142;-0,0667704396698053;-0,0752164852308302;-0,109679541517182
64;-0,0650981336792218;1,00689154190842;1;1,02571983453934;1,02100200896591;-0,0754353844668577;-0,00282628621473991;0,101920807844319;0,00246624895762764;-0,0574390382829803;-0,0685542091491121;0,00279306168444116;-0,110894881191138
65;-0,0373754632215564;0,895879693342281;1;1,02475155691547;1,02114258674423;-0,0770351080683573;-0,00355028532152517;0,059336569083258;-0,0650656426806995;-0,0269660723865348;-0,0390068253669542;0,00638308540142143;-0,102843991343573
66;-0,0849688263029609;1,11050063864492;1;1,02301523606298;1,01989883533526;-0,0828574548592354;0,0270637058426299;0,0205949917284725;-0,0251049759400707;-0,0602021094185963;-0,0397651486335576;-0,0527497318360512;-0,0950680326561311
67;-0,0794999611067314;0,846508997490888;0,9;1,02310034173019;1,02040771562405;-0,0873618461833823;0,0403930258147268;0,0209886428103015;-0,0494257713588328;-0,0584785811695112;-0,0151531683944483;-0,0389114555403432;-0,0945701619538678
68;-0,0349164398524216;0,705047772701931;1;1,02158137162937;1,01987331866511;-0,0862038948165598;0,0108711340274216;0,0228723583631018;-0,0463830673738233;-0,0590435511620891;-0,00710836884121454;-0,0294304556268716;-0,097910145478229
69;-0,0515232582162922;0,907143067429247;0,9;1,02167305422955;1,0195483840792;-0,0884959823815998;0,0104600093827669;-0,00893376136896056;-0,019479102513955;-0,0517397072810381;-0,0328496088167722;-0,0311079764273814;-0,097482308618594
70;-0,078659976572897;0,819139530523303;1;1,01973936103171;1,01876482592319;-0,0882392000884684;0,0214700711880737;0,0276124023742348;-0,0189188264776138;-0,0560556880542193;0,00589886061031038;-0,0280111280094417;-0,0625233620499236
71;-0,101127710547442;0,761052157520227;0,9;1,02019114906415;1,01893454210917;-0,0944169933730256;0,0746803578628649;-0,00576566891759455;-0,0214688764034717;-0,0372999872778883;-0,0276846085076032;-0,0324859475505674;-0,064397359601289
72;-0,082283656614324;0,915552791373767;1;1,01978257374923;1,01732203067443;-0,0932599643204368;0,0368055144902623;-0,038994730054792;-0,0265597308756887;-0,0165323948959285;-0,00933520891723946;-0,0407105345121885;-0,0610150846597663
73;-0,103398924338889;0,903478977304347;1;1,0201510561566;1,01802243907203;-0,0973842180871609;0,0416485127365366;-0,0104556334788308;-0,029665235239142;-0,0287572539992853;-0,0441811528707372;0,00568779058177099;-0,0757303994125
74;-0,066470161683862;0,809793488821591;1;1,0186918374473;1,01670543049678;-0,0911086765002241;0,0466136680437742;-0,0133607993557359;-0,0220555443686049;0,00336643171370768;0,000754893611133463;-0,0345629171784871;-0,0804616210181771
75;-0,0926111199602521;1,04522519456514;1;1,01822539889081;1,01738257815632;-0,090226199008365;-0,00762571195688911;0,00556955340416766;-0,0150609129026113;-0,0087550958461611;-0,0211581522268684;-0,0295880866503036;-0,0870126946124293
76;-0,0616477856596751;0,903711685017255;0,9;1,01791415607126;1,01752094018881;-0,0844951149386776;0,0252107605870534;0,00636707160208597;-0,0197829217457209;-0,0141974493040995;-0,0145547871925851;-0,0293026625269911;-0,0537558653343957
77;-0,0344710448395041;0,894937510019412;0,9;1,01752460990063;1,01743299166437;-0,0851767496137383;0,0258156445760243;0,00633145099743064;-0,0216262694637662;-0,0116659773452694;-0,0114213521818779;-0,0277571732894177;-0,0532718523562396
78;-0,0591368016700905;0,897750750793584;1;1,01752914399551;1,01812774286949;-0,08217398707149;0,0240377888328353;-0,00263208968809874;-0,0825189485591389;-0,00842436006479446;-0,00933749604133273;-0,0207458197744117;-0,0384158201732272
79;-0,0584414248733243;0,831287099699409;0,8;1,01634105797356;1,01889674320749;-0,0750615527207727;0,020381266513506;-0,00187283337606188;-0,0871430477025102;-0,0127476183309195;-0,00578396390017352;-0,0185857097812318;-0,031020725334355
80;-0,0795843321776321;1,10028406541855;1;1,01617862893836;1,01855093337755;-0,0755457117698556;0,0194563045051288;0,0455674898173754;-0,0826942215139777;0,0513473714159534;-0,00429580464993536;-0,0182900466954285;-0,0708049909738147
81;-0,0800165291646171;0,81605475851812;0,9;1,01510142822427;1,01876942854983;-0,0454533419480374;0,0126921413307485;0,0468971257535095;-0,0811134511701688;0,0292943267579014;-0,0047180066421223;-0,0163083842311569;-0,0461023477075256
82;-0,0932373743328402;0,751836042572947;1;1,01519490531292;1,01723956375028;-0,0485192796149123;0,0110256100786323;0,0467528828895969;-0,0820501780821869;0,00445849856666699;-0,0298598429438993;-0,0177450981327128;-0,0640402345375654
83;-0,0987622489092257;0,943573968271257;1;1,015382013581;1,01679779334255;-0,052045451980951;0,0118024924857176;0,0429700134267735;-0,0860760472352356;-0,0107610844906832;-0,00767421220331497;-0,017684900685882;-0,107970708481459
